Date,Ticker,Close,Target_Risk,pred_logistic,proba_logistic,pred_rf,proba_rf
2024-06-03,BBVA,9.768,0,0,0.33859417854380996,0,0.17943358808988247
2024-06-04,BBVA,9.456,0,0,0.33645883788869246,0,0.18714990907726714
2024-06-05,BBVA,9.55,0,0,0.30762719404653666,0,0.19117301783279586
2024-06-06,BBVA,9.798,0,0,0.21451006255213947,0,0.1993551609606727
2024-06-07,BBVA,9.894,0,0,0.2591260722805303,0,0.2036720132975133
2024-06-10,BBVA,9.76,0,0,0.2751369495696706,0,0.1845589870688083
2024-06-11,BBVA,9.588,0,0,0.296974181058666,0,0.17981006635726754
2024-06-12,BBVA,9.344,0,0,0.2574873546924892,0,0.18466673789389368
2024-06-13,BBVA,9.116,0,0,0.2204377701649288,0,0.1734036592121374
2024-06-14,BBVA,9.02,0,0,0.21187091154274848,0,0.17150578591707427
2024-06-17,BBVA,9.074,0,0,0.20073127639481506,0,0.18364978107653063
2024-06-18,BBVA,9.222,0,0,0.19527917327539335,0,0.19285360183068434
2024-06-19,BBVA,9.25,0,0,0.19795087316956766,0,0.18919018456679082
2024-06-20,BBVA,9.35,0,0,0.20224948457784522,0,0.1745055382629196
2024-06-21,BBVA,9.19,0,0,0.20137677908224116,0,0.16881822098354404
2024-06-24,BBVA,9.392,0,0,0.19637973758999924,0,0.16383494736473933
2024-06-25,BBVA,9.28,0,0,0.18588790461645088,0,0.17586403605669634
2024-06-26,BBVA,9.2,0,0,0.20208750761077632,0,0.16943975960102506
2024-06-27,BBVA,9.24,0,0,0.19874605995952654,0,0.1753743311080555
2024-06-28,BBVA,9.352,0,0,0.18981971006000434,0,0.18711188194642378
2024-07-01,BBVA,9.5,0,0,0.1653919335598499,0,0.1276847886813755
2024-07-02,BBVA,9.4,0,0,0.19633065210332937,0,0.1247923285749423
2024-07-03,BBVA,9.594,1,0,0.22253465823353683,0,0.12670222104620932
2024-07-04,BBVA,9.606,1,0,0.21417684135120468,0,0.1353087564299525
2024-07-05,BBVA,9.614,1,0,0.22759759879774513,0,0.12550445317956788
2024-07-08,BBVA,9.574,0,0,0.22235443272545422,0,0.12429813247224943
2024-07-09,BBVA,9.5,0,0,0.2276711172368033,0,0.11975935349149891
2024-07-10,BBVA,9.662,1,0,0.21341606561448975,0,0.13285268429846706
2024-07-11,BBVA,9.71,1,0,0.2072346474904723,0,0.1599017424123896
2024-07-12,BBVA,9.786,1,0,0.21699325273993977,0,0.1767599825440297
2024-07-15,BBVA,9.814,1,0,0.2361142889499483,0,0.17074091035194788
2024-07-16,BBVA,9.68,1,0,0.2370321484631185,0,0.1553319362998356
2024-07-17,BBVA,9.818,1,0,0.20166211038718654,0,0.09902595935481198
2024-07-18,BBVA,9.948,1,0,0.1982045929630045,0,0.10862437848386311
2024-07-19,BBVA,9.88,1,0,0.19477763239930046,0,0.1110394863754999
2024-07-22,BBVA,10.085,1,0,0.20508963739491423,0,0.1304267686410697
2024-07-23,BBVA,10.195,1,0,0.2013857926503056,0,0.14372736330766475
2024-07-24,BBVA,10.1,1,0,0.2294282279255339,0,0.13077028582367606
2024-07-25,BBVA,10.025,1,0,0.26441197963213003,0,0.13709862605900233
2024-07-26,BBVA,10.035,1,0,0.2783828563476631,0,0.14365149482245734
